"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"143","Denis Suárez",20,1319,1,3,0,0,15,7,"47%",82,22,"27%",0,10,30,13,13,10,0,3,0,0,1,1,0,0,0,1,0,45,35,"82%",42,15,1,0,0,0
"144","Deyverson Acosta",4,146,0,1,0,0,3,0,"0%",2,0,"0%",0,2,0,5,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2,"47%",0,0,0,1,0,0
"145","Didac Vilà",21,1742,0,0,0,0,9,2,"22%",46,6,"13%",0,13,22,23,29,31,0,5,0,0,0,0,0,0,0,2,0,6,11,"66%",0,2,0,0,0,0
"146","Diego Altube",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"147","Diego Carlos",25,2234,2,0,0,0,17,3,"18%",4,3,"75%",0,1,7,35,24,18,1,7,0,1,0,0,0,0,0,16,1,6,7,"83%",0,17,0,0,0,0
"148","Diego Costa",13,808,2,2,0,0,16,3,"19%",3,0,"0%",0,5,12,15,1,2,0,2,0,0,0,2,1,0,0,1,0,7,9,"66%",0,1,0,0,0,0
"149","Diego Javier Llorente",19,1607,0,1,0,0,5,1,"20%",0,0,"0%",0,0,12,15,19,11,0,4,1,0,1,0,0,0,0,7,1,4,3,"87%",0,4,0,0,0,0
"150","Diego Lainez",10,213,0,0,0,0,4,1,"25%",7,1,"14%",0,0,10,4,1,4,0,0,0,0,0,0,0,0,0,0,0,9,2,"77%",0,0,0,0,0,0
"151","Diego López",27,2422,0,0,77,46,0,0,"0%",0,0,"0%",0,0,5,1,2,1,0,4,1,0,0,0,0,0,0,0,0,2,1,"52%",0,12,0,0,0,0
"152","Dimitri Foulquier",9,561,1,0,0,0,4,2,"50%",11,4,"36%",0,2,6,14,11,7,0,2,0,0,0,0,0,0,0,3,0,6,3,"57%",0,1,0,0,0,0
"153","Dimitrios Siovas",18,1378,0,0,0,0,10,3,"30%",5,0,"0%",0,2,5,17,32,27,0,4,0,1,0,0,0,0,0,0,0,2,2,"72%",0,14,0,0,0,0
"154","Domingos Duarte",26,2290,2,0,0,0,8,3,"38%",0,0,"0%",0,1,16,27,23,10,1,6,0,3,0,0,0,0,0,19,0,4,0,"80%",0,31,0,0,0,0
"155","Dwight Gayle",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"156","Eden Hazard",10,743,1,1,0,0,12,8,"67%",15,3,"20%",0,11,35,11,5,3,0,0,0,0,3,0,0,0,0,0,0,37,14,"85%",1,0,0,0,0,0
"157","Éder Militão",9,633,0,0,0,0,2,1,"50%",2,1,"50%",0,1,12,12,14,10,0,2,0,0,0,0,0,0,0,4,0,0,2,"87%",0,1,0,0,0,0
"158","Édgar González",7,551,0,0,0,0,4,0,"0%",0,0,"0%",1,0,3,6,8,1,0,2,0,1,0,0,0,0,0,2,0,1,0,"87%",0,0,0,0,0,0
"159","Edgar Méndez",5,251,1,0,0,0,2,1,"50%",4,2,"50%",0,0,5,6,2,3,0,1,0,0,0,0,0,0,0,1,0,5,1,"56%",0,0,0,0,0,0
"160","Edu Expósito",25,1584,2,1,0,0,16,7,"44%",10,2,"20%",1,3,9,17,27,21,0,3,0,0,0,0,0,0,0,4,0,15,16,"83%",0,3,0,0,0,0
"161","Ekhi Bravo",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"162","El Hacen El Id",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"163","Eliaquim Mangala",4,315,0,0,0,0,1,0,"0%",0,0,"0%",0,0,0,5,2,0,0,1,0,1,0,0,0,0,0,2,0,0,0,"89%",0,1,0,0,0,0
"164","Eliseo Falcón",1,73,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,"87%",0,0,0,0,0,0
"165","Emerson de Souza",23,2025,3,5,0,0,23,5,"22%",52,12,"23%",0,12,60,29,22,29,0,8,0,0,0,0,0,0,0,6,0,9,20,"77%",0,5,0,0,0,0
"166","Enes Ünal",24,1713,4,2,0,0,42,14,"33%",8,3,"38%",0,13,45,30,6,6,0,2,0,0,1,1,1,0,0,4,0,16,22,"65%",0,0,0,2,0,0
"167","Enis Bardhi",21,1450,2,2,0,0,35,11,"31%",46,7,"15%",1,12,31,32,9,11,0,4,0,0,1,0,0,0,0,3,0,23,20,"76%",15,7,0,9,3,0
"168","Enric Gallego",11,566,0,0,0,0,14,4,"29%",1,0,"0%",0,4,6,21,4,2,0,2,0,0,0,0,0,0,0,1,0,3,5,"49%",0,0,0,0,0,0
"169","Erick Cabaco",12,816,0,0,0,0,4,0,"0%",1,0,"0%",0,2,7,7,13,8,0,4,0,0,0,0,0,0,0,7,0,4,2,"75%",0,7,0,0,0,0
"170","Esteban Burgos",7,529,1,0,0,0,2,1,"50%",1,0,"0%",0,0,3,5,9,4,0,2,0,0,0,0,0,0,0,1,1,1,0,"65%",0,2,0,0,0,0
"171","Esteban Granero",11,473,1,0,0,0,7,7,"100%",23,7,"30%",0,2,6,15,2,6,0,5,0,0,0,0,0,0,0,2,0,7,11,"77%",10,14,1,0,0,0
"172","Éver Banega",23,1848,2,6,0,0,28,7,"25%",123,36,"29%",1,14,41,22,8,19,0,6,0,0,0,2,2,0,0,0,0,40,43,"86%",72,32,6,2,0,0
"173","Ezequiel Garay",17,1437,0,0,0,0,6,3,"50%",2,0,"0%",0,4,1,10,13,8,0,2,0,1,0,0,0,0,0,17,0,0,3,"88%",0,4,0,0,0,0
"174","Fabián Orellana",24,2082,7,6,0,0,38,17,"45%",102,32,"31%",0,29,46,20,19,17,0,8,1,0,1,4,3,0,0,0,0,59,39,"77%",61,7,1,1,0,0
"175","Fabian Schär",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"176","Fabricio Agosto",1,90,0,0,3,3,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"70%",0,0,0,0,0,0
"177","Facundo Ferreyra",13,542,1,0,0,0,7,5,"71%",2,1,"50%",0,6,8,23,2,2,0,2,0,0,0,0,0,0,0,0,0,3,4,"61%",0,0,0,0,0,0
"178","Facundo Roncaglia",13,1033,1,0,0,0,2,1,"50%",9,1,"11%",0,0,9,15,13,16,0,4,2,2,0,0,0,0,0,3,0,11,4,"78%",0,5,0,0,0,0
"179","Fayçal Fajr",7,388,0,0,0,0,9,3,"33%",31,8,"26%",1,2,5,3,4,0,0,2,0,0,0,0,0,0,0,0,0,1,9,"69%",15,11,1,3,1,0
"180","Fede San Emeterio",14,1059,0,0,0,0,1,0,"0%",3,0,"0%",0,0,16,17,21,10,0,3,0,0,0,0,0,0,0,3,0,2,5,"84%",0,2,0,0,0,0
"181","Fede Vico",9,413,1,1,0,0,9,1,"11%",20,5,"25%",0,3,9,3,2,0,0,1,0,0,0,1,1,0,0,1,0,10,9,"79%",8,3,0,1,0,0
"182","Federico Barba",5,450,0,0,0,0,1,1,"100%",5,1,"20%",0,0,5,8,8,6,0,3,0,0,0,0,0,0,0,2,0,1,1,"65%",0,1,0,0,0,0
"183","Federico Fernández",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"184","Federico Valverde",22,1267,2,4,0,0,20,9,"45%",11,2,"18%",0,5,7,15,19,16,0,1,0,0,0,0,0,0,0,3,0,14,15,"87%",0,0,0,0,0,0
"185","Federico Varela",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"186","Fedor Smolov",6,358,1,0,0,0,5,3,"60%",5,0,"0%",0,0,3,7,4,0,0,2,0,0,0,0,0,0,0,0,0,5,2,"66%",0,0,0,0,0,0
"187","Felipe",21,1802,1,0,0,0,18,5,"28%",1,0,"0%",0,6,12,24,38,18,0,6,0,0,0,0,0,0,0,11,0,4,5,"77%",0,11,0,0,0,0
"188","Ferland Mendy",16,1132,0,1,0,0,6,2,"33%",53,10,"19%",0,10,14,17,18,18,0,6,1,0,0,0,0,0,0,4,0,29,14,"86%",0,0,0,0,0,0
"189","Fernando Calero",14,978,0,0,0,0,0,0,"0%",0,0,"0%",0,0,5,7,7,8,0,4,1,0,0,0,0,0,0,4,1,1,0,"86%",0,1,0,0,0,0
"190","Fernando Niño",2,16,1,0,0,0,1,1,"100%",0,0,"0%",0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"60%",0,0,0,0,0,0
"191","Fernando Pacheco",24,2160,0,0,64,34,0,0,"0%",0,0,"0%",0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,"56%",0,11,0,0,0,0
"192","Fernando Reges",24,2088,1,2,0,0,10,2,"20%",2,1,"50%",0,3,19,32,46,29,0,10,0,0,0,0,0,0,0,9,0,11,7,"87%",0,2,0,0,0,0
"193","Ferrán Torres",25,1771,4,4,0,0,27,10,"37%",65,9,"14%",0,19,29,15,10,14,0,4,0,0,0,0,0,0,0,1,0,44,21,"80%",0,1,0,0,0,0
"194","Filip Bradaric",4,213,0,0,0,0,0,0,"0%",2,1,"50%",0,0,0,3,4,2,0,0,1,0,0,0,0,0,0,2,0,0,1,"76%",1,1,0,0,0,0
"195","Florent Poulolo",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"196","Florian Lejeune",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"197","Fran Beltrán",20,1268,0,0,0,0,9,2,"22%",10,2,"20%",0,0,8,11,13,14,0,2,1,1,0,0,0,0,0,1,0,15,10,"89%",1,3,0,0,0,0
"198","Fran Gámez",14,1230,0,1,0,0,10,1,"10%",40,8,"20%",0,5,3,18,26,33,0,2,0,1,0,0,0,0,0,8,0,10,8,"73%",0,0,0,0,0,0
"199","Fran Mérida",17,931,0,0,0,0,12,2,"17%",13,3,"23%",0,7,15,14,27,7,0,8,1,0,0,0,0,0,0,3,0,19,9,"77%",2,5,0,0,0,0
"200","Francis Coquelin",19,1487,0,0,0,0,8,1,"13%",1,0,"0%",0,1,24,23,35,17,0,7,1,1,1,0,0,0,0,5,0,15,3,"90%",0,3,0,0,0,0
"201","Francisco Portillo",13,344,0,1,0,0,3,1,"33%",5,1,"20%",0,2,3,9,1,5,0,2,0,0,0,0,0,0,0,0,0,7,7,"73%",0,0,0,0,0,0
"202","Francisco Vieites",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"203","Franco Vázquez",23,904,3,0,0,0,15,6,"40%",16,2,"13%",0,6,33,21,7,15,0,4,0,0,0,0,0,0,0,0,0,17,6,"88%",2,0,0,0,0,0
"204","Frenkie de Jong",26,1988,2,2,0,0,4,4,"100%",3,1,"33%",0,4,28,23,23,20,0,3,1,0,0,0,0,0,0,7,0,42,24,"92%",0,0,0,0,0,0
"205","Gabriel Fernández",16,517,1,1,0,0,7,3,"43%",2,0,"0%",0,1,7,14,2,1,0,4,1,0,0,0,0,0,0,1,0,8,2,"66%",0,0,0,0,0,0
"206","Gabriel Paulista",24,2088,1,0,0,0,6,2,"33%",1,0,"0%",0,2,17,14,45,11,0,5,0,0,0,0,0,0,0,26,0,5,0,"89%",0,7,0,0,0,0
"207","Gaizka Larrazabal",9,182,0,0,0,0,3,1,"33%",12,3,"25%",0,5,3,6,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,"60%",4,0,0,0,0,0
"208","Gareth Bale",14,993,2,2,0,0,31,11,"35%",45,9,"20%",0,8,10,15,5,4,0,4,1,0,0,0,0,0,0,2,0,17,12,"80%",0,0,0,3,1,0
"209","Gary Cahill",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"210","Geoffrey Kondogbia",17,1216,1,0,0,0,11,1,"9%",0,0,"0%",0,0,15,24,34,22,0,5,0,1,0,0,0,0,0,5,0,12,3,"82%",0,0,0,0,0,0
"211","Gerard Moreno",25,2058,11,3,0,0,70,25,"36%",47,9,"19%",2,10,35,27,11,8,0,4,0,0,2,1,0,0,0,2,0,45,40,"74%",0,0,0,0,0,0
"212","Gerard Piqué",25,2219,1,0,0,0,9,5,"56%",0,0,"0%",2,0,15,25,28,15,1,11,0,2,0,0,0,0,0,19,0,4,4,"91%",0,10,0,1,1,0
"213","Germán Sánchez",19,1590,2,0,0,0,8,4,"50%",0,0,"0%",0,2,17,20,24,7,0,9,1,0,0,0,0,0,0,17,0,1,0,"80%",0,14,0,0,0,0
"214","Germán Valera",1,4,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"50%",0,0,0,0,0,0
"215","Gil Dias",2,84,0,0,0,0,2,2,"100%",2,0,"0%",0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,"65%",0,0,0,0,0,0
"216","Gonçalo Guedes",10,598,0,1,0,0,11,5,"45%",14,2,"14%",0,10,27,9,4,7,0,0,0,0,0,0,0,0,0,0,0,24,11,"79%",2,0,0,0,0,0
"217","Gonzalo Ávila 'Pipa'",2,116,0,0,0,0,1,1,"100%",4,0,"0%",0,1,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,"70%",0,0,0,0,0,0
"218","Gonzalo Escalante",20,1410,0,1,0,0,19,4,"21%",14,3,"21%",0,3,26,28,25,23,0,7,1,0,1,0,0,0,0,3,0,13,9,"69%",0,2,0,0,0,0
"219","Gonzalo Melero",16,834,1,1,0,0,14,5,"36%",2,1,"50%",0,4,20,19,5,9,0,3,0,0,0,0,0,0,0,3,0,4,8,"81%",0,0,0,0,0,0
"220","Gonzalo Pereira",1,13,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100%",0,0,0,0,0,0
"221","Guido Carrillo",20,1005,1,2,0,0,29,12,"41%",3,0,"0%",1,3,21,26,1,9,0,1,0,0,0,0,0,0,0,1,0,4,10,"62%",0,0,0,0,0,0
"222","Guido Rodríguez",5,180,0,0,0,0,0,0,"0%",0,0,"0%",0,0,3,3,5,4,0,2,0,0,0,0,0,0,0,2,0,1,0,"84%",0,0,0,0,0,0
"223","Guillermo Maripán",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"73%",0,2,0,0,0,0
"224","Hatem Ben Arfa",2,26,0,0,0,0,1,0,"0%",0,0,"0%",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,"62%",0,0,0,0,0,0
"225","Héctor Herrera",14,833,0,1,0,0,12,1,"8%",23,8,"35%",0,4,11,12,15,19,0,0,0,0,0,0,0,0,0,4,0,10,17,"89%",8,9,4,0,0,0
"226","Hernâni",11,424,2,0,0,0,17,8,"47%",25,5,"20%",0,5,10,2,3,3,0,2,1,0,0,0,0,0,0,0,0,5,8,"69%",0,3,0,0,0,0
"227","Hugo Duro",3,78,0,0,0,0,2,1,"50%",2,0,"0%",0,2,3,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"69%",0,0,0,0,0,0
"228","Hugo Guillamón",1,45,0,0,0,0,0,0,"0%",1,0,"0%",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"89%",0,0,0,0,0,0
"229","Hugo Mallo",21,1574,0,1,0,0,5,2,"40%",61,9,"15%",0,4,22,23,19,31,0,7,0,0,0,0,0,0,0,6,0,3,9,"80%",1,5,0,0,0,0
"230","Iago Aspas",26,2328,9,2,0,0,66,30,"45%",20,5,"25%",0,24,49,21,14,12,0,6,0,0,1,3,2,0,0,0,0,42,38,"79%",2,1,0,8,2,0
"231","Iago Domínguez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"232","Iago Herrerín",3,270,0,0,6,3,0,0,"0%",0,0,"0%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46%",0,6,0,0,0,0
"233","Ibai Gómez",14,650,0,0,0,0,14,5,"36%",85,25,"29%",1,9,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0,8,15,"79%",40,22,5,2,0,0
"234","Ibrahim Amadou",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"85%",0,0,0,0,0,0
"235","Iddrisu Baba",25,2082,0,0,0,0,7,1,"14%",2,0,"0%",0,1,47,31,31,26,0,5,0,3,0,0,0,0,1,7,0,33,5,"80%",0,0,0,0,0,0
"236","Igor Zubeldia",24,2004,0,1,0,0,11,0,"0%",5,1,"20%",0,2,18,41,14,18,0,7,0,2,0,0,0,0,0,17,0,13,4,"88%",0,0,0,0,0,0
"237","Iker Losada",2,13,1,0,0,0,1,1,"100%",3,0,"0%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"75%",0,0,0,0,0,0
"238","Iker Muniaín",20,1575,4,2,0,0,20,10,"50%",38,5,"13%",0,12,41,17,8,14,0,0,1,0,0,0,0,0,0,0,0,48,29,"86%",15,10,2,1,0,0
"239","Iñaki Álvarez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"240","Iñaki Peña",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"241","Iñaki Williams",27,2192,6,0,0,0,35,20,"57%",43,14,"33%",2,18,36,19,5,4,0,2,0,0,1,2,1,0,0,0,0,38,22,"74%",0,0,0,0,0,0
"242","Íñigo Córdoba",14,862,1,2,0,0,17,4,"24%",23,4,"17%",0,2,12,19,6,15,0,4,0,0,0,0,0,0,0,2,0,8,8,"74%",0,0,0,0,0,0
"243","Íñigo Lekue",10,416,0,1,0,0,2,0,"0%",26,5,"19%",0,2,1,9,1,9,0,0,0,1,0,0,0,0,0,0,0,6,5,"74%",5,1,0,0,0,0
"244","Íñigo Martínez",24,2160,0,1,0,0,24,3,"13%",14,5,"36%",0,3,32,24,36,22,0,7,0,0,0,0,0,0,1,8,0,6,9,"79%",0,30,0,4,0,0
"245","Íñigo Pérez",12,520,1,0,0,0,11,3,"27%",20,2,"10%",1,2,6,7,4,10,0,1,0,0,0,0,0,0,0,0,0,1,5,"76%",2,10,1,2,1,0
"246","Isaac Hayden",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"247","Isco Alarcón",16,867,1,0,0,0,17,10,"59%",29,4,"14%",0,4,19,9,3,8,0,1,0,0,0,0,0,0,0,0,0,26,17,"88%",1,0,0,2,0,0
"248","Ismael Gutiérrez",3,77,0,0,0,0,0,0,"0%",0,0,"0%",0,0,1,1,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,"81%",0,0,0,0,0,0
"249","Ismail Köybasi",3,225,0,0,0,0,1,0,"0%",8,2,"25%",0,0,2,3,5,4,0,1,0,0,0,0,0,0,0,0,0,2,0,"65%",0,1,1,1,0,0
"250","Iván Cuéllar",16,1442,0,0,41,21,0,0,"0%",0,0,"0%",0,1,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,"45%",0,8,0,0,0,0
"251","Iván López",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"252","Iván López",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"253","Iván Martín",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"254","Ivan Rakitic",21,967,0,3,0,0,18,5,"28%",13,4,"31%",0,6,23,13,10,6,0,2,0,0,0,0,0,0,0,4,0,4,8,"88%",8,2,0,0,0,0
"255","Iván Ramis",7,457,1,0,0,0,4,2,"50%",1,0,"0%",0,0,5,4,4,2,0,1,0,0,0,0,0,0,0,0,1,3,1,"79%",0,7,0,0,0,0
"256","Ivan Saponjic",1,3,0,0,0,0,1,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"257","Iván Villar",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"258","Jaime Mata",24,1947,8,3,0,0,38,19,"50%",38,8,"21%",0,20,42,67,5,9,0,10,0,0,1,2,2,0,0,0,0,10,21,"65%",0,0,0,0,0,0
"259","Jairo Riedewald",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"260","Jamaal Lascelles",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"261","James McArthur",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"262","James McCarthy",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"263","James Rodríguez",7,342,1,1,0,0,9,1,"11%",22,6,"27%",0,2,6,5,2,9,0,1,0,0,0,0,0,0,0,0,0,1,14,"82%",10,6,2,1,0,0
"264","Jan Oblak",27,2405,0,0,60,21,0,0,"0%",0,0,"0%",0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"55%",0,11,0,0,0,0
"265","Jason",11,867,1,4,0,0,16,5,"31%",59,13,"22%",0,10,20,16,14,14,0,5,0,0,0,0,0,0,0,3,0,17,17,"62%",18,9,1,2,2,0
"266","Jasper Cillessen",16,1376,0,1,46,19,0,0,"0%",0,0,"0%",0,0,2,0,2,0,0,1,0,0,0,0,0,2,0,0,1,0,1,"56%",0,7,0,0,0,0
"267","Jaume Costa",13,962,0,0,0,0,2,1,"50%",20,2,"10%",0,10,16,14,15,21,0,2,0,0,0,0,0,0,0,6,0,11,5,"82%",0,1,0,0,0,0
"268","Jaume Doménech",12,1054,0,0,51,20,0,0,"0%",0,0,"0%",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"61%",0,9,0,0,0,0
"269","Javi Díaz",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"270","Javi García",7,361,0,0,0,0,3,1,"33%",0,0,"0%",0,0,5,3,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,"83%",0,0,0,0,0,0
"271","Javi Jiménez García",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"272","Javi López",14,1122,0,0,0,0,3,0,"0%",24,5,"21%",0,1,21,23,19,25,0,5,1,1,0,0,0,0,0,5,1,16,7,"70%",0,0,0,0,0,0
"273","Javi Martínez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"274","Javi Moyano",19,1597,0,0,0,0,4,0,"0%",27,7,"26%",0,0,16,16,18,9,0,3,0,1,0,0,0,0,0,4,0,10,12,"74%",0,4,0,0,0,0
"275","Javi Muñoz",1,52,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"71%",0,0,0,0,0,0
"276","Javi Ontiveros",21,454,2,1,0,0,32,11,"34%",28,6,"21%",1,8,9,13,1,11,0,1,0,0,1,0,0,0,0,1,0,24,7,"80%",6,2,0,5,3,1
"277","Javi Puado",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"278","Javi Sánchez",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"279","Javier Avilés",1,13,0,0,0,0,0,0,"0%",3,0,"0%",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"67%",0,0,0,0,0,0
"280","Javier Eraso",15,607,0,0,0,0,5,3,"60%",32,10,"31%",0,3,11,13,5,6,0,2,0,0,0,0,0,0,0,0,0,1,8,"80%",15,5,2,0,0,0
"281","Jean-Clair Todibo",2,77,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"96%",0,0,0,0,0,0
"282","Jeison Murillo",8,720,0,0,0,0,1,1,"100%",1,0,"0%",0,1,8,10,6,10,0,2,0,0,0,0,0,0,0,7,0,1,0,"83%",0,2,0,0,0,0
"283","Jesús Navas",27,2428,0,4,0,0,9,2,"22%",177,43,"24%",0,30,20,14,19,13,0,4,0,0,0,0,0,0,0,3,0,30,44,"80%",0,1,0,0,0,0
"284","Jesús Vallejo",3,185,0,0,0,0,1,0,"0%",1,0,"0%",0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,"77%",0,3,0,0,0,0
"285","Joan Jordan",23,1533,2,2,0,0,22,5,"23%",69,21,"30%",1,11,19,47,14,24,0,5,0,0,1,0,0,0,0,3,1,24,27,"87%",30,21,3,6,2,1
"286","Joan Sastre",15,1279,0,2,0,0,14,1,"7%",62,15,"24%",0,5,19,18,21,18,0,4,0,1,0,0,0,0,0,2,0,2,14,"71%",0,4,1,1,0,0
"287","João Félix",20,1409,4,1,0,0,50,14,"28%",17,2,"12%",0,12,34,27,7,3,0,5,0,0,1,0,0,0,0,0,0,19,12,"79%",1,1,0,2,0,0
"288","Joaquín Fernández",14,1164,1,0,0,0,8,3,"38%",0,0,"0%",0,0,5,24,21,21,0,7,0,0,0,0,0,0,0,4,1,6,3,"79%",0,4,0,0,0,0
"289","Joaquín Sánchez",26,1707,8,2,0,0,27,14,"52%",69,16,"23%",2,19,20,10,15,4,0,3,0,0,0,3,2,0,0,2,0,45,46,"83%",25,14,1,4,1,0
